id.accession	counts_file	source_path	is_star	is_rsem
OSD-318	GLDS-318_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	mouse_counts_downloads/OSD-318/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-318_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	0	1
OSD-322	GLDS-322_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	mouse_counts_downloads/OSD-322/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-322_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	0	1
OSD-326	GLDS-326_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	mouse_counts_downloads/OSD-326/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-326_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	0	1
OSD-352	GLDS-352_rna_seq_RSEM_Unnormalized_Counts.csv	mouse_counts_downloads/OSD-352/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-352_rna_seq_RSEM_Unnormalized_Counts.csv	0	1
OSD-374	GLDS-374_rna_seq_RSEM_Unnormalized_Counts.csv	mouse_counts_downloads/OSD-374/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-374_rna_seq_RSEM_Unnormalized_Counts.csv	0	1
OSD-379	GLDS-379_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	mouse_counts_downloads/OSD-379/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-379_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	0	1
OSD-397	GLDS-397_rna_seq_RSEM_Unnormalized_Counts.csv	mouse_counts_downloads/OSD-397/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-397_rna_seq_RSEM_Unnormalized_Counts.csv	0	1
OSD-401	GLDS-401_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	mouse_counts_downloads/OSD-401/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-401_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	0	1
OSD-419	GLDS-419_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	mouse_counts_downloads/OSD-419/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-419_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	0	1
OSD-420	GLDS-420_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	mouse_counts_downloads/OSD-420/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-420_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	0	1
OSD-421	GLDS-421_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	mouse_counts_downloads/OSD-421/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-421_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	0	1
OSD-426	GLDS-426_rna_seq_RSEM_Unnormalized_Counts.csv	mouse_counts_downloads/OSD-426/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-426_rna_seq_RSEM_Unnormalized_Counts.csv	0	1
OSD-457	GLDS-457_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	mouse_counts_downloads/OSD-457/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-457_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	0	1
OSD-462	GLDS-462_rna_seq_RSEM_Unnormalized_Counts_totRNA_GLbulkRNAseq.csv	mouse_counts_downloads/OSD-462/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-462_rna_seq_RSEM_Unnormalized_Counts_totRNA_GLbulkRNAseq.csv	0	1
OSD-463	GLDS-463_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	mouse_counts_downloads/OSD-463/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-463_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	0	1
OSD-464	GLDS-464_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	mouse_counts_downloads/OSD-464/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-464_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	0	1
OSD-467	GLDS-467_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	mouse_counts_downloads/OSD-467/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-467_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	0	1
OSD-47	GLDS-47_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	mouse_counts_downloads/OSD-47/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-47_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	0	1
OSD-48	GLDS-48_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	mouse_counts_downloads/OSD-48/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-48_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	0	1
OSD-49	GLDS-49_rna_seq_Unnormalized_Counts.csv	mouse_counts_downloads/OSD-49/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-49_rna_seq_Unnormalized_Counts.csv	0	0
OSD-506	GLDS-506_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	mouse_counts_downloads/OSD-506/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-506_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	0	1
OSD-511	GLDS-511_rna_seq_RSEM_Unnormalized_Counts.csv	mouse_counts_downloads/OSD-511/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-511_rna_seq_RSEM_Unnormalized_Counts.csv	0	1
OSD-512	GLDS-512_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	mouse_counts_downloads/OSD-512/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-512_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	0	1
OSD-513	GLDS-513_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	mouse_counts_downloads/OSD-513/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-513_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	0	1
OSD-515	GLDS-515_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	mouse_counts_downloads/OSD-515/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-515_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	0	1
OSD-525	GLDS-525_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	mouse_counts_downloads/OSD-525/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-525_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	0	1
OSD-561	GLDS-556_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	mouse_counts_downloads/OSD-561/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-556_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	0	1
OSD-562	GLDS-557_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	mouse_counts_downloads/OSD-562/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-557_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	0	1
OSD-563	GLDS-568_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	mouse_counts_downloads/OSD-563/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-568_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	0	1
OSD-564	GLDS-569_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	mouse_counts_downloads/OSD-564/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-569_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	0	1
OSD-566	GLDS-567_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	mouse_counts_downloads/OSD-566/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-567_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	0	1
OSD-576	GLDS-570_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	mouse_counts_downloads/OSD-576/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-570_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	0	1
OSD-580	GLDS-573_rna_seq_RSEM_Unnormalized_Counts.csv	mouse_counts_downloads/OSD-580/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-573_rna_seq_RSEM_Unnormalized_Counts.csv	0	1
OSD-599	GLDS-596_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	mouse_counts_downloads/OSD-599/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-596_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	0	1
OSD-612	GLDS-588_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	mouse_counts_downloads/OSD-612/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-588_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	0	1
OSD-613	GLDS-589_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	mouse_counts_downloads/OSD-613/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-589_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	0	1
OSD-665	GLDS-604_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	mouse_counts_downloads/OSD-665/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-604_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	0	1
OSD-666	GLDS-605_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	mouse_counts_downloads/OSD-666/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-605_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	0	1
OSD-667	GLDS-606_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	mouse_counts_downloads/OSD-667/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-606_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	0	1
OSD-686	GLDS-617_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	mouse_counts_downloads/OSD-686/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-617_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	0	1
OSD-690	GLDS-620_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	mouse_counts_downloads/OSD-690/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-620_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	0	1
OSD-714	GLDS-638_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	mouse_counts_downloads/OSD-714/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-638_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	0	1
OSD-719	GLDS-641_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	mouse_counts_downloads/OSD-719/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-641_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	0	1
OSD-770	GLDS-673_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	mouse_counts_downloads/OSD-770/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-673_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	0	1
OSD-771	GLDS-674_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	mouse_counts_downloads/OSD-771/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-674_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	0	1
OSD-792	GLDS-688_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	mouse_counts_downloads/OSD-792/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-688_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	0	1
OSD-98	GLDS-98_rna_seq_Unnormalized_Counts.csv	mouse_counts_downloads/OSD-98/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-98_rna_seq_Unnormalized_Counts.csv	0	0
OSD-99	GLDS-99_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	mouse_counts_downloads/OSD-99/transcription_profiling_RNA_Seq/GeneLab_processed_data_files/GLDS-99_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv	0	1
