"","GSM3317067","GSM3317068","GSM3317069","GSM3317070","GSM3317071","GSM3317072"
"ENSMUSG00000000731",74,78,107,74,100,114
"ENSMUSG00000000732",1903,2041,2398,1939,2294,2187
"ENSMUSG00000000738",39,10,45,3,10,25
"ENSMUSG00000000739",122,145,164,123,153,189
"ENSMUSG00000000740",35,17,34,13,23,53
"ENSMUSG00000000743",109,257,347,149,248,267
"ENSMUSG00000000751",1089,1119,1526,982,1507,1370
"ENSMUSG00000000753",0,0,0,0,0,0
"ENSMUSG00000000759",110,76,64,137,104,132
"ENSMUSG00000000766",4,4,5,0,16,8
"ENSMUSG00000000776",133,171,243,188,227,255
"ENSMUSG00000000782",1214,954,1295,846,1013,858
"ENSMUSG00000000787",6146,5378,6446,4325,5504,5741
"ENSMUSG00000000791",0,0,0,0,0,0
"ENSMUSG00000000792",2,13,6,4,15,4
"ENSMUSG00000000794",18,6,23,1,9,17
"ENSMUSG00000000804",288,347,405,281,472,353
"ENSMUSG00000000805",0,9,8,2,7,0
"ENSMUSG00000000811",469,659,609,462,610,753
"ENSMUSG00000000817",0,0,0,0,0,4
"ENSMUSG00000000823",190,210,292,203,313,366
"ENSMUSG00000000826",321,308,590,340,299,449
"ENSMUSG00000000827",7664,8404,9785,7091,8478,9347
"ENSMUSG00000000838",95,126,156,79,180,167
"ENSMUSG00000000861",0,0,0,3,0,0
"ENSMUSG00000000869",0,0,3,0,2,1
"ENSMUSG00000000876",91,112,128,85,105,101
"ENSMUSG00000000881",17,9,5,0,1,0
"ENSMUSG00000000884",84,85,236,139,142,207
"ENSMUSG00000000889",25,2,50,1,61,23
"ENSMUSG00000000901",0,0,0,0,0,0
"ENSMUSG00000000902",1039,1096,1617,1101,1156,1500
"ENSMUSG00000000903",0,2,2,0,0,1
"ENSMUSG00000000915",76,137,167,122,195,153
"ENSMUSG00000000916",17,19,38,34,13,50
"ENSMUSG00000000934",1,8,10,9,0,0
"ENSMUSG00000000938",16,5,21,14,0,7
"ENSMUSG00000000942",0,0,0,0,0,0
"ENSMUSG00000000948",0,1,1,0,0,1
"ENSMUSG00000000957",0,0,0,0,0,0
"ENSMUSG00000000958",30,47,58,44,27,54
"ENSMUSG00000000959",150,138,227,165,202,148
"ENSMUSG00000000976",754,783,1031,719,974,888
"ENSMUSG00000000982",45,52,28,30,40,28
"ENSMUSG00000000983",0,0,0,0,0,0
"ENSMUSG00000001014",0,0,0,0,0,0
"ENSMUSG00000001016",979,928,993,774,1014,1109
"ENSMUSG00000001017",545,534,883,447,435,602
"ENSMUSG00000001018",1533,1385,1576,1022,1276,1354
"ENSMUSG00000001020",0,0,0,0,0,0
"ENSMUSG00000001021",0,0,0,0,0,0
"ENSMUSG00000001023",0,0,0,0,0,0
"ENSMUSG00000001025",5,12,20,16,9,9
"ENSMUSG00000001027",0,0,0,0,0,1
"ENSMUSG00000001029",0,0,4,0,0,0
"ENSMUSG00000001034",31,40,21,33,33,41
"ENSMUSG00000001036",5107,6962,8297,6924,9026,8266
"ENSMUSG00000001039",841,826,767,716,962,1053
"ENSMUSG00000001052",322,378,513,335,520,430
"ENSMUSG00000001053",0,1,0,0,0,1
"ENSMUSG00000001054",65,89,69,48,84,111
"ENSMUSG00000001056",149,125,150,175,140,160
"ENSMUSG00000001062",36,34,57,58,17,55
"ENSMUSG00000001065",29,35,74,50,28,76
"ENSMUSG00000001076",0,0,0,0,0,0
"ENSMUSG00000001082",275,282,393,245,355,325
"ENSMUSG00000001089",4163,4346,6565,4320,6028,5300
"ENSMUSG00000001095",0,0,0,0,0,0
"ENSMUSG00000001098",241,214,319,231,172,366
"ENSMUSG00000001100",126,155,116,111,213,229
"ENSMUSG00000001103",3285,3434,4218,3189,2953,4019
"ENSMUSG00000001105",1095,1402,1837,1155,1662,1303
"ENSMUSG00000001119",0,0,0,0,0,0
"ENSMUSG00000001120",716,968,1071,878,853,975
"ENSMUSG00000001123",56,65,102,32,74,36
"ENSMUSG00000001127",84,101,157,106,168,140
"ENSMUSG00000001128",0,0,0,0,0,0
"ENSMUSG00000001131",0,0,0,0,0,0
"ENSMUSG00000001134",62,50,100,78,34,75
"ENSMUSG00000001138",0,0,0,0,1,0
"ENSMUSG00000001143",172,188,229,132,211,279
"ENSMUSG00000001150",625,648,773,545,889,906
"ENSMUSG00000001151",2333,3439,3845,2836,4102,3846
"ENSMUSG00000001155",0,0,0,0,0,0
"ENSMUSG00000001156",1296,1477,2248,1353,1570,2500
"ENSMUSG00000001157",476,470,613,445,507,641
"ENSMUSG00000001158",9244,9135,11925,10421,10399,10381
"ENSMUSG00000001166",10734,10733,13574,11306,12797,13305
"ENSMUSG00000001168",13096,12756,15421,13791,15391,14544
"ENSMUSG00000001173",661,599,923,349,842,675
"ENSMUSG00000001175",36288,38543,44723,38869,46395,43772
"ENSMUSG00000001211",32,49,62,79,91,114
"ENSMUSG00000001225",7,1,2,0,0,1
"ENSMUSG00000001227",0,0,0,0,0,0
"ENSMUSG00000001228",3603,4038,5077,3463,5039,5555
"ENSMUSG00000001229",28,25,50,32,76,84
"ENSMUSG00000001240",10,5,4,27,11,21
"ENSMUSG00000001247",94,90,166,82,113,203
"ENSMUSG00000001248",0,0,0,0,0,0
"ENSMUSG00000001249",0,0,0,0,0,0
"ENSMUSG00000001260",2,0,0,0,5,0
"ENSMUSG00000001270",419,461,577,571,398,637
"ENSMUSG00000001280",385,340,392,245,430,381
"ENSMUSG00000001281",0,0,0,0,0,0
"ENSMUSG00000001285",26,17,29,12,42,27
"ENSMUSG00000001288",6,13,10,3,1,7
"ENSMUSG00000001289",1925,2249,2478,2415,2361,2436
"ENSMUSG00000001300",952,781,764,637,896,932
"ENSMUSG00000001305",446,441,603,535,463,456
"ENSMUSG00000001313",0,0,0,0,0,0
"ENSMUSG00000001323",47,38,23,34,30,41
"ENSMUSG00000001333",0,0,2,0,2,0
"ENSMUSG00000001334",1,8,11,13,9,6
"ENSMUSG00000001348",80,73,71,89,74,75
"ENSMUSG00000001349",532,652,802,565,708,848
"ENSMUSG00000001366",964,908,1004,784,1049,1074
