"","RR1_GST-R_FLT_M23","RR1_GST-R_FLT_M24","RR1_GST-R_FLT_M25","RR1_GST-R_FLT_M26","RR1_GST-R_GC_M33","RR1_GST-R_GC_M34","RR1_GST-R_GC_M35","RR1_GST-R_GC_M36","RR1_GST-R_GC_M37","RR1_GST-R_GC_M38","RR1_GST-R_GC_M39","RR1_GST-R_GC_M40"
"ENSMUSG00000000416",0,43,2,11,1,0,17,0,22,0,10,0
"ENSMUSG00000000420",409,586,490,433,480,152,229,783,688,242,190,304
"ENSMUSG00000000435",111,96,103,87,116,26,44,119,178,56,72,48
"ENSMUSG00000000439",2074,1745,2178,1977,1389,577,1431,3094,3201,1247,1078,1426
"ENSMUSG00000000440",0,10,49,12,58,0,21,49,59,1,35,4
"ENSMUSG00000000441",1688,1960,2072,1412,1574,580,1548,2820,2467,1028,721,1327
"ENSMUSG00000000486",58,38,33,1,0,2,2,41,1,21,4,0
"ENSMUSG00000000489",149,119,88,71,142,6,121,108,223,23,51,47
"ENSMUSG00000000530",16,27,76,44,17,0,36,93,34,35,1,56
"ENSMUSG00000000531",40,43,52,0,0,17,3,92,72,1,41,1
"ENSMUSG00000000532",140,88,165,138,115,69,69,283,159,126,7,115
"ENSMUSG00000000538",373,136,149,152,261,145,105,422,233,84,70,104
"ENSMUSG00000000544",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000552",85,59,82,17,81,10,17,97,146,22,40,38
"ENSMUSG00000000555",97,39,18,46,38,13,22,43,70,32,25,2
"ENSMUSG00000000560",0,10,0,0,0,0,0,18,0,0,0,1
"ENSMUSG00000000561",99,121,89,216,137,26,32,250,114,144,42,67
"ENSMUSG00000000562",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000563",12033,9507,9403,7585,11167,4847,5671,14110,14377,4427,5280,5184
"ENSMUSG00000000567",76,209,115,103,52,49,84,187,325,13,116,29
"ENSMUSG00000000568",554,311,324,313,470,68,190,513,722,270,221,497
"ENSMUSG00000000579",0,1,10,0,4,0,5,3,1,1,0,0
"ENSMUSG00000000581",641,504,877,732,1034,220,603,1001,988,615,527,525
"ENSMUSG00000000594",705,596,1037,757,678,207,437,1108,1198,684,492,563
"ENSMUSG00000000600",294,281,165,213,227,86,81,367,197,191,139,11
"ENSMUSG00000000605",691,531,387,413,459,153,243,832,480,107,159,453
"ENSMUSG00000000606",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000617",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000627",0,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000000628",4125,3702,3699,2704,4599,1519,2287,6739,5612,1821,1678,2428
"ENSMUSG00000000631",1612,1144,1436,992,1554,479,722,2250,1403,634,538,1137
"ENSMUSG00000000632",0,22,0,1,0,0,0,0,6,0,0,0
"ENSMUSG00000000673",0,0,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000000682",37,26,23,7,32,1,3,39,18,28,13,8
"ENSMUSG00000000686",2,10,5,0,1,0,0,0,0,18,0,9
"ENSMUSG00000000690",0,0,0,0,23,0,0,3,2,0,0,0
"ENSMUSG00000000693",9,7,0,9,10,4,0,0,6,15,6,0
"ENSMUSG00000000701",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000706",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000708",691,767,979,613,1072,164,370,1302,1132,384,320,341
"ENSMUSG00000000711",154,161,133,120,205,43,41,175,222,91,55,98
"ENSMUSG00000000724",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000730",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000731",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000732",2,0,12,0,2,0,20,39,3,2,5,0
"ENSMUSG00000000738",717,717,697,380,637,178,434,1087,752,257,184,522
"ENSMUSG00000000739",73,0,38,14,51,0,2,46,8,13,15,37
"ENSMUSG00000000740",943,851,670,699,1068,323,430,1662,1532,477,357,387
"ENSMUSG00000000743",298,203,302,176,191,108,211,451,395,382,190,288
"ENSMUSG00000000751",380,351,207,325,490,203,93,536,391,153,142,259
"ENSMUSG00000000753",268,293,185,204,508,70,71,449,525,187,220,117
"ENSMUSG00000000759",84,48,86,57,85,27,17,122,139,75,29,16
"ENSMUSG00000000766",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000776",212,445,282,348,332,72,205,556,450,144,181,145
"ENSMUSG00000000782",2,1,1,1,17,0,0,5,20,1,5,1
"ENSMUSG00000000787",2275,1699,1997,2403,2341,801,1068,2597,2764,1173,1021,1516
