"","RR9_SPL_FLT_F1","RR9_SPL_FLT_F10","RR9_SPL_FLT_F2","RR9_SPL_FLT_F3","RR9_SPL_FLT_F4","RR9_SPL_FLT_F5","RR9_SPL_FLT_F6","RR9_SPL_FLT_F7","RR9_SPL_FLT_F8","RR9_SPL_FLT_F9","RR9_SPL_GC_G1","RR9_SPL_GC_G10","RR9_SPL_GC_G2","RR9_SPL_GC_G3","RR9_SPL_GC_G4","RR9_SPL_GC_G5","RR9_SPL_GC_G6","RR9_SPL_GC_G7","RR9_SPL_GC_G8","RR9_SPL_GC_G9"
"ENSMUSG00000026482",85,374,484,170,541,338,72,107,362,113,29,64,213,542,434,292,47,230,414,368
"ENSMUSG00000026483",69,346,472,163,615,316,51,71,536,62,78,111,190,632,494,252,13,171,412,304
"ENSMUSG00000026484",38,310,521,198,557,247,65,134,340,116,69,113,204,703,444,374,33,238,459,316
"ENSMUSG00000026489",17,106,239,52,169,82,14,55,153,35,4,38,66,188,96,31,24,60,99,79
"ENSMUSG00000026490",39,193,191,50,180,178,27,35,227,72,17,46,68,226,237,89,4,79,116,159
"ENSMUSG00000026491",131,608,658,178,770,514,98,151,557,154,84,206,322,829,674,438,79,220,678,438
"ENSMUSG00000026492",16,93,139,33,194,124,19,56,83,21,8,22,51,180,180,92,15,79,174,117
"ENSMUSG00000026494",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"ENSMUSG00000026495",17,87,74,16,119,46,12,5,57,50,6,10,36,123,55,95,2,37,83,33
"ENSMUSG00000026496",145,1083,1455,282,1613,881,150,202,1144,233,105,292,438,1584,1148,789,172,458,1138,1023
"ENSMUSG00000026497",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000026499",125,937,1011,291,1353,647,139,239,1012,302,121,124,343,1462,1045,658,121,405,846,831
"ENSMUSG00000026500",201,1232,2167,392,2558,1141,185,398,1704,446,218,364,788,2753,1850,1239,181,760,1639,1323
"ENSMUSG00000026502",88,456,745,168,671,424,41,98,555,150,12,95,269,916,624,405,64,306,492,382
"ENSMUSG00000026504",74,343,256,114,309,246,44,101,335,129,29,123,234,444,299,229,61,164,381,315
"ENSMUSG00000026509",36,277,330,41,264,221,27,63,219,91,35,36,59,333,308,214,48,176,309,125
"ENSMUSG00000026510",32,130,313,42,250,136,41,38,154,42,42,42,107,299,214,190,24,142,268,145
"ENSMUSG00000026511",196,704,1466,252,1579,828,170,384,889,231,189,193,642,1657,1311,874,128,557,1133,698
"ENSMUSG00000026514",0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000026516",211,900,1254,312,1174,674,122,257,777,208,109,201,424,1552,1160,603,208,432,984,669
"ENSMUSG00000026519",4,135,233,71,240,137,12,61,195,45,7,26,104,290,175,108,30,40,186,156
"ENSMUSG00000026520",61,240,455,105,642,230,35,143,262,51,69,41,138,545,376,262,35,123,375,312
"ENSMUSG00000026523",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000026525",1,16,18,12,55,15,0,7,14,3,0,1,1,44,17,14,4,24,9,10
"ENSMUSG00000026526",80,252,410,103,550,302,31,64,347,86,29,36,237,468,430,241,7,166,333,250
