"","Mmus_C57-6T_LVR_FLT_Rep1_F1","Mmus_C57-6T_LVR_FLT_Rep2_F2","Mmus_C57-6T_LVR_FLT_Rep3_F3","Mmus_C57-6T_LVR_GC_Rep1_G1","Mmus_C57-6T_LVR_GC_Rep2_G2","Mmus_C57-6T_LVR_GC_Rep3_G3","Mmus_C57-6T_SPL_FLT_Rep1_F1","Mmus_C57-6T_SPL_FLT_Rep2_F2","Mmus_C57-6T_SPL_FLT_Rep3_F3","Mmus_C57-6T_SPL_GC_Rep1_G1","Mmus_C57-6T_SPL_GC_Rep2_G2","Mmus_C57-6T_SPL_GC_Rep3_G3"
"ENSMUSG00000000392",13,8,4,9,14,6,29,26,30,28,18,32
"ENSMUSG00000000394",0,0,0,0,0,0,7,3,2,3,1,3
"ENSMUSG00000000399",1472,1616,679,1556,1477,1531,710,705,813,948,727,695
"ENSMUSG00000000402",1,0,0,3,0,2,10,12,15,10,13,8
"ENSMUSG00000000409",52,30,39,49,36,43,1422,1906,2888,3166,2272,2495
"ENSMUSG00000000411",2,2,3,2,0,0,15,7,4,4,5,5
"ENSMUSG00000000416",5,6,1,6,2,18,74,76,89,56,44,84
"ENSMUSG00000000420",821,742,358,747,687,670,2766,2907,2891,2462,2601,2501
"ENSMUSG00000000435",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000439",261,243,93,294,197,206,294,314,383,240,320,299
"ENSMUSG00000000440",221,183,121,208,126,137,248,165,143,448,160,207
"ENSMUSG00000000441",724,594,61,591,507,420,742,996,1130,502,928,900
"ENSMUSG00000000486",56,44,109,67,47,58,2704,3769,4413,6659,3678,3261
"ENSMUSG00000000489",32,20,9,24,23,30,284,272,342,376,289,295
"ENSMUSG00000000530",94,71,74,51,63,56,467,555,676,765,474,391
"ENSMUSG00000000531",31,43,49,27,37,47,103,123,159,150,120,139
"ENSMUSG00000000532",444,276,55,354,254,206,555,692,849,511,739,683
"ENSMUSG00000000538",785,558,232,661,383,408,661,798,1065,723,678,669
"ENSMUSG00000000544",0,0,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000000552",224,153,159,119,114,102,521,509,652,918,529,549
"ENSMUSG00000000555",553,287,309,264,244,254,366,306,370,455,251,250
"ENSMUSG00000000560",0,0,0,0,0,0,3,8,8,10,10,6
"ENSMUSG00000000561",168,176,260,201,127,145,279,382,443,643,371,336
"ENSMUSG00000000562",0,0,4,3,0,2,11,14,11,34,12,14
"ENSMUSG00000000563",4986,5952,5784,5177,4838,4408,2598,2511,2893,4540,2508,2559
"ENSMUSG00000000567",32,31,32,50,41,33,8,14,17,7,15,17
"ENSMUSG00000000568",997,838,274,1198,733,601,2962,3135,3447,3245,2630,2710
"ENSMUSG00000000579",28,19,20,25,25,19,147,189,239,131,242,182
"ENSMUSG00000000581",947,950,485,1010,903,823,631,642,737,1074,714,639
"ENSMUSG00000000594",2103,2014,2165,1507,1299,1213,3734,4364,5072,7831,4153,4051
"ENSMUSG00000000600",404,403,42,332,323,316,1160,1666,1813,912,1630,1497
"ENSMUSG00000000605",1064,954,541,996,807,786,1145,1372,1739,1320,1311,1296
"ENSMUSG00000000606",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000617",0,0,0,1,0,0,137,340,380,49,218,206
"ENSMUSG00000000627",2,2,1,2,0,3,93,112,150,99,114,123
"ENSMUSG00000000628",72,31,18,53,40,56,457,410,547,359,422,441
"ENSMUSG00000000631",3249,2265,802,2487,2148,1863,2190,2530,3095,1973,2225,2036
"ENSMUSG00000000632",0,0,0,0,0,0,0,0,1,0,1,0
"ENSMUSG00000000673",7658,9302,11441,7934,7492,4969,681,1220,1486,1255,1060,997
"ENSMUSG00000000682",211,95,329,181,143,137,5210,5248,7129,14302,6915,6135
"ENSMUSG00000000686",341,429,81,304,387,337,29,45,58,21,39,57
"ENSMUSG00000000690",5,1,2,0,6,9,17,22,25,31,19,26
"ENSMUSG00000000693",74,39,35,29,47,53,212,153,224,273,198,196
"ENSMUSG00000000701",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000706",0,0,0,0,0,0,31,13,4,2,3,9
"ENSMUSG00000000708",1806,1705,387,1720,1296,1302,1018,1117,1005,652,887,890
"ENSMUSG00000000711",2336,2102,494,1791,1916,1503,1782,1977,2273,1401,1981,1757
"ENSMUSG00000000724",0,0,0,0,0,0,1,1,0,0,1,0
"ENSMUSG00000000730",0,0,0,0,0,2,7,13,7,13,11,4
"ENSMUSG00000000731",1,0,0,1,0,1,98,105,139,130,90,83
"ENSMUSG00000000732",33,31,10,44,40,33,2101,3505,3927,2872,3294,2649
"ENSMUSG00000000738",907,1068,920,808,880,809,1038,1340,1552,1234,1182,1060
"ENSMUSG00000000739",102,30,51,135,67,63,2,7,3,5,6,3
"ENSMUSG00000000740",3627,3183,8889,3323,2876,3186,13739,18424,22106,34838,18169,15711
"ENSMUSG00000000743",1553,1459,982,1474,1352,1319,1725,1939,2474,2376,1910,1914
"ENSMUSG00000000751",630,486,351,467,457,429,2471,2330,2543,2381,1937,1880
"ENSMUSG00000000753",9726,9868,11257,8717,7876,7243,70,68,133,118,70,65
"ENSMUSG00000000759",488,417,131,367,343,335,1355,1524,1786,1042,1237,1406
"ENSMUSG00000000766",0,1,0,1,0,0,6,6,3,1,4,2
"ENSMUSG00000000776",245,219,97,190,191,192,424,448,556,458,482,428
"ENSMUSG00000000782",139,79,53,124,84,82,1792,2465,3811,2587,3359,3592
"ENSMUSG00000000787",5524,5359,1224,4483,4569,3895,7641,8079,9316,4842,8123,7554
"ENSMUSG00000000791",9,52,16,31,22,23,155,168,220,184,139,219
"ENSMUSG00000000792",3,1,2,1,0,0,40,14,32,24,13,18
"ENSMUSG00000000794",0,2,0,1,0,0,24,27,31,16,28,25
"ENSMUSG00000000804",601,624,97,537,539,421,2841,2396,1466,695,1208,1634
"ENSMUSG00000000805",0,0,0,0,0,0,0,1,1,0,0,0
"ENSMUSG00000000811",262,186,76,256,146,110,85,112,129,173,112,95
"ENSMUSG00000000817",3,4,3,3,2,4,59,85,90,117,57,80
"ENSMUSG00000000823",685,469,80,501,449,377,776,931,1211,532,780,778
"ENSMUSG00000000826",1452,1460,467,1249,1300,1081,3020,3828,4621,2354,3697,3327
"ENSMUSG00000000827",671,700,736,685,654,605,985,1092,1289,1488,1019,949
"ENSMUSG00000000838",646,553,94,500,504,429,1563,1587,1711,948,1391,1386
"ENSMUSG00000000861",8,6,3,10,5,6,1618,2088,2487,1295,1973,1778
"ENSMUSG00000000869",4,0,3,2,0,1,29,20,21,43,23,21
