"","RR3_HRT_FLT_F1","RR3_HRT_FLT_F2","RR3_HRT_FLT_F9","RR3_HRT_GC_G7","RR3_HRT_GC_G8"
"ENSMUSG00000000632",43,15,41,11,13
"ENSMUSG00000000673",9,13,14,17,0
"ENSMUSG00000000682",115,78,179,321,80
"ENSMUSG00000000686",130,144,181,60,44
"ENSMUSG00000000690",3,12,6,0,0
"ENSMUSG00000000693",291,286,361,187,118
"ENSMUSG00000000701",0,0,0,0,0
"ENSMUSG00000000706",0,1,0,0,0
"ENSMUSG00000000708",6755,6188,10555,5383,3435
"ENSMUSG00000000711",5535,5072,8484,4405,2468
"ENSMUSG00000000724",0,0,0,0,0
"ENSMUSG00000000730",5,7,14,7,0
"ENSMUSG00000000731",0,0,1,0,0
"ENSMUSG00000000732",375,417,479,357,184
"ENSMUSG00000000738",4092,3351,6434,3464,2044
"ENSMUSG00000000739",35,34,50,20,9
"ENSMUSG00000000740",9007,6450,11402,7715,3721
"ENSMUSG00000000743",1936,1669,2881,1657,859
"ENSMUSG00000000751",3404,2688,4964,2696,1556
"ENSMUSG00000000753",1702,1307,1730,1064,360
"ENSMUSG00000000759",1333,861,1707,861,473
"ENSMUSG00000000766",2,0,0,0,0
"ENSMUSG00000000776",808,777,1368,729,338
"ENSMUSG00000000782",229,63,43,80,27
"ENSMUSG00000000787",17095,16014,27796,14045,8507
"ENSMUSG00000000791",2,2,11,8,0
"ENSMUSG00000000792",7,2,3,1,2
"ENSMUSG00000000794",251,222,546,136,197
"ENSMUSG00000000804",2699,2703,4070,2189,1251
"ENSMUSG00000000805",1040,1067,1400,658,264
"ENSMUSG00000000811",1086,1147,1711,859,515
"ENSMUSG00000000817",2,7,14,8,0
"ENSMUSG00000000823",1121,979,1584,798,476
"ENSMUSG00000000826",4248,3897,6677,3363,2276
"ENSMUSG00000000827",3433,2737,4937,2715,1608
"ENSMUSG00000000838",815,657,1067,601,343
"ENSMUSG00000000861",292,271,361,280,136
"ENSMUSG00000000869",0,1,0,0,0
"ENSMUSG00000000876",2071,2072,2733,1626,862
"ENSMUSG00000000881",273,237,437,234,149
"ENSMUSG00000000884",145,107,254,119,87
"ENSMUSG00000000889",1059,388,1210,397,298
"ENSMUSG00000000901",514,348,683,300,151
"ENSMUSG00000000902",949,735,1375,738,503
"ENSMUSG00000000903",2,0,10,44,0
"ENSMUSG00000000915",1152,937,1573,879,476
"ENSMUSG00000000916",396,273,557,311,150
"ENSMUSG00000000934",351,280,509,291,129
"ENSMUSG00000000938",0,0,0,0,0
"ENSMUSG00000000942",19,4,13,4,26
"ENSMUSG00000000948",90,59,112,41,58
"ENSMUSG00000000957",1200,845,1631,776,433
"ENSMUSG00000000958",275,177,231,131,37
"ENSMUSG00000000959",5641,4977,8109,4162,2631
"ENSMUSG00000000976",821,733,1162,702,466
"ENSMUSG00000000982",2,2,10,4,0
"ENSMUSG00000000983",1,0,0,0,0
"ENSMUSG00000001014",46,16,67,8,14
"ENSMUSG00000001016",1976,1566,2868,1516,896
"ENSMUSG00000001017",3520,3152,5461,2905,1563
"ENSMUSG00000001018",2527,2167,3903,2183,1293
"ENSMUSG00000001020",8,1,37,25,11
"ENSMUSG00000001021",0,0,0,0,0
"ENSMUSG00000001023",1,0,0,0,0
"ENSMUSG00000001025",2306,1567,3294,1532,586
"ENSMUSG00000001027",3850,5452,4678,2895,1646
"ENSMUSG00000001029",1068,902,1117,656,302
"ENSMUSG00000001034",342,239,359,259,77
"ENSMUSG00000001036",2330,2002,3120,1793,867
"ENSMUSG00000001039",179,159,203,182,40
"ENSMUSG00000001052",1833,1877,2298,1263,849
"ENSMUSG00000001053",721,459,1105,390,184
"ENSMUSG00000001054",774,601,1166,606,359
"ENSMUSG00000001056",632,496,808,497,297
"ENSMUSG00000001062",1693,1325,2030,1079,679
"ENSMUSG00000001065",675,589,888,605,375
"ENSMUSG00000001076",0,0,0,0,0
"ENSMUSG00000001082",288,246,327,186,108
"ENSMUSG00000001089",4498,4096,7008,3311,2295
"ENSMUSG00000001095",1,3,0,2,0
"ENSMUSG00000001098",2892,2356,3951,2314,1198
"ENSMUSG00000001100",6465,5329,9990,5251,3349
"ENSMUSG00000001103",0,0,0,0,0
"ENSMUSG00000001105",1200,817,1532,881,538
"ENSMUSG00000001119",6316,7394,7949,4570,2109
"ENSMUSG00000001120",144,130,171,119,27
"ENSMUSG00000001123",1479,1264,1735,1041,917
"ENSMUSG00000001127",3323,2743,5533,2796,1635
"ENSMUSG00000001128",262,223,368,245,79
"ENSMUSG00000001131",78,77,165,55,28
"ENSMUSG00000001134",1073,797,1794,900,469
"ENSMUSG00000001138",787,781,1092,649,289
"ENSMUSG00000001143",1095,1061,1651,920,497
"ENSMUSG00000001150",1575,1273,2279,1173,783
"ENSMUSG00000001151",5730,4908,8522,4399,2942
"ENSMUSG00000001155",3,4,20,28,0
"ENSMUSG00000001156",286,316,558,314,141
"ENSMUSG00000001157",338,270,454,299,218
"ENSMUSG00000001158",1941,1639,3001,1699,962
"ENSMUSG00000001166",38,40,74,16,27
"ENSMUSG00000001168",0,0,0,0,0
"ENSMUSG00000001173",1216,995,1608,978,480
"ENSMUSG00000001175",10808,10497,17218,9925,6004
"ENSMUSG00000001211",11200,10431,13632,7900,4554
"ENSMUSG00000001225",51,37,95,6,13
"ENSMUSG00000001227",314,683,488,278,158
"ENSMUSG00000001228",141,77,76,77,50
"ENSMUSG00000001229",2630,2406,3472,1858,1301
"ENSMUSG00000001240",1536,2014,1957,1106,551
"ENSMUSG00000001247",89,69,61,34,28
"ENSMUSG00000001248",1485,1229,1741,915,655
"ENSMUSG00000001249",119,151,141,124,58
"ENSMUSG00000001260",0,0,0,0,0
"ENSMUSG00000001270",2582,2110,3773,2313,1103
"ENSMUSG00000001280",3505,3766,5595,2979,1735
"ENSMUSG00000001281",53,55,79,106,38
"ENSMUSG00000001285",660,453,800,451,265
"ENSMUSG00000001288",855,738,1250,657,433
"ENSMUSG00000001289",5732,4448,9263,4999,2774
"ENSMUSG00000001300",1361,1441,2131,1060,540
"ENSMUSG00000001305",411,308,629,370,245
"ENSMUSG00000001313",180,149,278,178,54
"ENSMUSG00000001323",1580,1368,2119,1184,706
"ENSMUSG00000001333",1876,1556,2744,1466,845
"ENSMUSG00000001334",22526,17961,32501,16845,11226
"ENSMUSG00000001348",26,60,111,22,7
"ENSMUSG00000001349",134,183,120,77,65
"ENSMUSG00000001366",1465,1079,2290,944,555
"ENSMUSG00000001376",1372,1293,2119,1199,658
"ENSMUSG00000001380",2405,2105,3637,2130,1158
"ENSMUSG00000001383",2352,1699,3921,2009,937
"ENSMUSG00000001403",115,40,81,81,46
"ENSMUSG00000001415",4010,3602,6512,3266,2117
"ENSMUSG00000001416",5848,5103,9094,4794,2966
"ENSMUSG00000001418",1718,1570,2482,1293,710
"ENSMUSG00000001419",7555,7326,9131,5602,3198
"ENSMUSG00000001420",80,73,155,47,40
"ENSMUSG00000001424",5222,4583,8158,4327,2941
"ENSMUSG00000001435",752,777,829,523,245
"ENSMUSG00000001436",216,180,287,162,86
"ENSMUSG00000001440",8584,8563,13962,7408,4246
"ENSMUSG00000001441",3499,3708,5199,3002,1728
"ENSMUSG00000001444",3,2,6,3,19
"ENSMUSG00000001445",2783,2296,4265,2284,1467
"ENSMUSG00000001467",914,687,1455,732,485
"ENSMUSG00000001472",8445,7303,12038,6368,3738
"ENSMUSG00000001473",1345,1054,1810,994,474
"ENSMUSG00000001482",3653,3229,5340,3086,1921
"ENSMUSG00000001493",571,435,548,313,156
"ENSMUSG00000001494",4,7,7,68,0
"ENSMUSG00000001496",0,0,0,0,0
"ENSMUSG00000001497",8,8,6,0,0
"ENSMUSG00000001504",378,122,579,108,65
"ENSMUSG00000001506",6175,7741,8640,3717,2573
"ENSMUSG00000001507",642,845,948,486,321
"ENSMUSG00000001508",4879,4729,8568,4369,2444
"ENSMUSG00000001510",1,0,0,0,0
"ENSMUSG00000001517",110,67,73,55,25
"ENSMUSG00000001518",580,497,719,405,284
"ENSMUSG00000001520",90,94,125,72,68
"ENSMUSG00000001521",492,443,658,412,331
"ENSMUSG00000001524",402,344,615,402,208
"ENSMUSG00000001525",6559,5632,8688,5570,3291
