"ENSMUSG00000000381",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000384",948,261,292,1082,307,614,285,720,293,542,656,687
"ENSMUSG00000000385",4,1,0,1,0,1,0,1,2,1,0,0
"ENSMUSG00000000386",56,16,15,43,18,17,12,16,9,17,47,44
"ENSMUSG00000000392",123,97,40,152,58,64,43,77,18,65,63,96
"ENSMUSG00000000394",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000399",1662,519,453,1962,467,1050,480,1683,463,976,1255,1448
"ENSMUSG00000000402",315,83,94,460,126,297,59,321,144,254,213,123
"ENSMUSG00000000409",116,22,28,115,36,42,32,95,36,46,87,98
"ENSMUSG00000000411",0,0,0,2,0,0,0,0,0,0,0,0
"ENSMUSG00000000416",4756,2414,2422,4411,3085,2558,2054,3416,969,2138,2447,4073
"ENSMUSG00000000420",3252,938,1125,2969,1045,1863,1003,2634,804,1646,2112,2562
"ENSMUSG00000000435",0,0,0,0,0,1,0,1,0,0,0,0
"ENSMUSG00000000439",1430,427,471,1637,505,916,427,1343,442,815,1017,1053
"ENSMUSG00000000440",198,295,66,271,84,83,47,141,33,105,111,252
"ENSMUSG00000000441",2693,818,776,2869,933,1502,816,2311,735,1457,1767,2058
"ENSMUSG00000000486",112,45,46,111,45,58,34,109,23,42,79,64
"ENSMUSG00000000489",1207,292,301,1383,419,713,411,1069,363,594,845,878
"ENSMUSG00000000530",920,310,287,858,413,497,330,575,238,409,611,905
"ENSMUSG00000000531",383,176,164,265,240,197,215,281,83,181,245,329
"ENSMUSG00000000532",740,245,286,608,277,382,271,510,154,364,378,821
"ENSMUSG00000000538",6022,1493,1861,6899,2029,3797,1984,5378,1786,3542,4067,4190
"ENSMUSG00000000544",19,18,11,12,15,9,13,6,7,8,19,17
"ENSMUSG00000000552",644,364,290,530,416,342,184,369,144,236,398,491
"ENSMUSG00000000555",1643,465,552,1891,543,1130,495,1458,535,1096,1094,1274
"ENSMUSG00000000560",0,1,1,2,0,0,0,0,0,0,0,1
"ENSMUSG00000000561",782,184,239,854,263,431,246,678,239,482,564,581
"ENSMUSG00000000562",14,1,3,8,0,0,2,5,0,1,10,9
"ENSMUSG00000000563",3494,1039,1087,4190,1157,2337,1039,3681,1106,2064,2521,2236
"ENSMUSG00000000567",258,115,101,202,174,136,103,161,69,116,181,181
"ENSMUSG00000000568",1939,1457,1472,1970,1344,1155,892,1478,706,1090,1322,1866
"ENSMUSG00000000579",40,15,27,30,20,25,29,19,7,16,29,36
"ENSMUSG00000000581",1168,239,386,1247,289,630,361,1208,329,586,823,806
"ENSMUSG00000000594",14192,4344,5246,15411,5679,8126,3881,13695,4387,7916,9766,9249
"ENSMUSG00000000600",2359,1118,1236,2330,959,1439,882,1758,644,1325,1295,1865
"ENSMUSG00000000605",3715,1048,1236,4466,1228,2462,1006,3834,1147,2219,2702,2749
"ENSMUSG00000000606",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000617",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000627",97,31,48,85,35,40,43,49,24,59,75,125
"ENSMUSG00000000628",772,666,154,1322,195,650,170,669,273,625,618,709
"ENSMUSG00000000631",7048,2981,2992,6376,3643,3444,2688,5113,1799,3105,4087,6008
"ENSMUSG00000000632",60,77,64,83,61,48,46,40,25,34,32,106
"ENSMUSG00000000673",34,4,6,20,8,18,14,17,4,9,12,27
"ENSMUSG00000000682",367,100,115,280,141,141,84,188,104,141,258,304
"ENSMUSG00000000686",443,137,108,400,119,201,151,303,89,221,283,329
"ENSMUSG00000000690",1261,553,610,1437,704,917,465,1208,389,729,807,1164
"ENSMUSG00000000693",244,89,66,189,103,125,75,179,47,109,175,268
"ENSMUSG00000000701",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000706",1,0,0,2,2,5,0,1,0,1,0,0
"ENSMUSG00000000708",3253,1093,1086,3022,1099,1740,993,2888,897,1722,2121,2133
"ENSMUSG00000000711",5080,2170,2303,5315,2124,2977,1676,4398,1352,2757,3489,3861
"ENSMUSG00000000724",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000730",115,1,4,344,6,268,17,308,86,207,188,4
"ENSMUSG00000000731",5,0,1,0,2,2,3,0,0,2,0,0
"ENSMUSG00000000732",998,304,285,1655,325,1010,311,1046,435,794,820,654
"ENSMUSG00000000738",1445,476,386,1751,502,890,520,1607,460,899,1086,978
"ENSMUSG00000000739",308,89,52,154,130,108,105,119,47,72,132,404
"ENSMUSG00000000740",1556,338,442,1593,389,873,522,1232,518,699,927,850
"ENSMUSG00000000743",2389,385,610,2482,585,1399,755,2040,584,1269,1657,1800
"ENSMUSG00000000751",1848,431,570,1970,473,1151,513,1668,502,929,1279,1319
"ENSMUSG00000000753",641,221,129,382,239,298,139,397,153,286,349,480
"ENSMUSG00000000759",1476,623,610,1499,718,814,512,1155,407,864,968,1289
"ENSMUSG00000000766",11,10,13,10,7,12,6,8,3,8,12,10
"ENSMUSG00000000776",362,182,202,412,211,246,146,374,145,212,304,282
"ENSMUSG00000000782",2337,925,971,1729,1121,941,715,1567,500,868,1344,1539
"ENSMUSG00000000787",15078,5859,7043,17719,5828,10762,4457,14294,5237,10171,10802,9739
"ENSMUSG00000000791",16,7,11,18,4,7,3,8,4,9,6,18
"ENSMUSG00000000792",1,1,0,5,1,0,0,0,0,0,0,1
"ENSMUSG00000000794",484,417,469,446,369,211,197,365,152,245,249,674
"ENSMUSG00000000804",3765,1326,1607,4102,1278,2432,1129,3445,1166,2197,2487,2576
"ENSMUSG00000000805",4,32,0,15,3,3,0,18,0,5,10,11
"ENSMUSG00000000811",484,157,141,432,158,231,135,304,148,254,334,285
"ENSMUSG00000000817",11,4,4,15,3,5,2,5,2,1,12,11
"ENSMUSG00000000823",2410,1053,948,2462,1159,1385,969,2084,682,1348,1582,2234
"ENSMUSG00000000826",4439,1322,1564,4663,1484,2867,1540,3665,1326,2519,2961,3712
"ENSMUSG00000000827",2754,805,1023,2799,943,1657,836,2470,817,1657,1851,2009
"ENSMUSG00000000838",2235,1139,1278,2165,910,1246,729,1836,582,1162,1490,1712
"ENSMUSG00000000861",234,217,181,201,176,113,99,218,56,121,137,316
"ENSMUSG00000000869",1,4,0,0,1,0,0,0,0,6,0,0
"ENSMUSG00000000876",1171,518,452,1194,495,561,378,988,308,578,722,848
"ENSMUSG00000000881",2945,966,1090,2633,1332,1404,888,2377,749,1351,1822,1898
"ENSMUSG00000000884",71,13,17,65,32,32,33,86,25,34,62,55
"ENSMUSG00000000889",15831,13849,15933,14693,12288,8068,7441,9603,3605,6957,9668,18823
"ENSMUSG00000000901",336,112,109,393,184,213,131,390,77,176,230,416
"ENSMUSG00000000902",1706,606,793,1727,733,900,606,1353,506,932,1119,1531
"ENSMUSG00000000903",5,3,0,0,0,3,0,4,0,1,0,1
"ENSMUSG00000000915",678,283,297,678,298,371,321,439,145,336,427,597
"ENSMUSG00000000916",338,114,116,324,153,202,129,247,61,197,208,233
"ENSMUSG00000000934",246,132,110,404,129,205,80,380,109,247,262,181
"ENSMUSG00000000938",1,0,0,0,2,1,0,0,0,0,1,0
"ENSMUSG00000000942",25,28,12,22,27,11,9,18,8,11,22,29
"ENSMUSG00000000948",240,134,198,172,73,88,112,110,53,94,190,252
"ENSMUSG00000000957",2104,653,677,2064,904,1206,587,1793,555,1145,1424,1960
"ENSMUSG00000000958",179,56,56,143,72,65,52,109,20,58,102,150
"ENSMUSG00000000959",2282,610,689,2625,856,1425,749,2114,680,1259,1540,1463
"ENSMUSG00000000976",992,323,364,1128,439,631,328,885,303,590,678,807
"ENSMUSG00000000982",41,15,31,22,27,10,22,9,11,9,21,51
"ENSMUSG00000000983",1,0,0,1,1,0,0,0,0,1,2,0
"ENSMUSG00000001014",34,1,6,15,4,3,14,11,3,5,23,19
"ENSMUSG00000001016",1496,635,611,1583,633,975,470,1172,439,830,945,1052
"ENSMUSG00000001017",3091,812,1091,3290,982,1788,1060,2580,847,1775,1965,2513
"ENSMUSG00000001018",2063,678,865,1970,841,1180,642,1594,597,1074,1329,1403
"ENSMUSG00000001020",0,1,2,2,1,0,0,1,3,3,2,3
"ENSMUSG00000001021",0,0,0,1,1,0,0,0,0,0,0,4
"ENSMUSG00000001023",0,0,0,0,0,0,0,4,0,0,0,0
"ENSMUSG00000001025",469,176,150,386,178,175,156,341,109,190,270,486
"ENSMUSG00000001027",1,1,3,5,0,2,3,7,0,0,1,0
"ENSMUSG00000001029",259,77,106,323,112,160,88,285,90,190,183,202
"ENSMUSG00000001034",593,238,263,642,311,295,192,443,138,346,421,458
"ENSMUSG00000001036",1536,512,595,1367,635,839,568,1085,387,825,860,1254
"ENSMUSG00000001039",212,67,77,179,98,105,58,117,47,84,104,165
"ENSMUSG00000001052",2875,1625,1468,3005,1692,1801,921,2407,970,1625,1867,2356
"ENSMUSG00000001053",319,93,98,258,134,126,94,194,71,144,156,296
"ENSMUSG00000001054",966,256,311,910,334,499,343,772,237,472,616,672
"ENSMUSG00000001056",443,153,154,529,195,250,124,421,132,274,365,268
"ENSMUSG00000001062",841,299,279,846,377,457,278,546,233,429,544,742
"ENSMUSG00000001065",839,269,255,844,278,431,294,557,210,415,533,647
"ENSMUSG00000001076",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001082",731,231,261,735,279,421,261,473,197,366,468,596
"ENSMUSG00000001089",2326,1066,1118,2747,1086,1523,711,2194,782,1444,1549,1868
"ENSMUSG00000001095",0,0,1,9,0,0,0,0,0,1,0,3
"ENSMUSG00000001098",2893,782,880,2812,919,1373,924,2471,771,1363,1773,2440
"ENSMUSG00000001100",3275,908,923,3559,1015,1912,998,2673,837,1761,2259,1976
"ENSMUSG00000001103",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001105",810,323,346,875,337,416,290,653,215,460,574,666
"ENSMUSG00000001119",10601,3407,3373,9530,4034,5782,3084,9729,3081,5653,6940,7211
"ENSMUSG00000001120",1070,741,838,1109,797,671,402,827,298,549,791,1229
"ENSMUSG00000001123",902,395,365,913,476,522,277,674,295,551,541,619
"ENSMUSG00000001127",3384,1211,1213,3330,1426,1978,1256,2648,887,1795,2110,2979
