"","RR9_TMS_FLT_F1","RR9_TMS_FLT_F10","RR9_TMS_FLT_F2","RR9_TMS_FLT_F3","RR9_TMS_FLT_F4","RR9_TMS_FLT_F5","RR9_TMS_FLT_F6","RR9_TMS_FLT_F7","RR9_TMS_FLT_F8","RR9_TMS_FLT_F9","RR9_TMS_GC_G1","RR9_TMS_GC_G10","RR9_TMS_GC_G2","RR9_TMS_GC_G3","RR9_TMS_GC_G4","RR9_TMS_GC_G5","RR9_TMS_GC_G6","RR9_TMS_GC_G7","RR9_TMS_GC_G8","RR9_TMS_GC_G9"
"ENSMUSG00000000301",25,11,0,32,15,16,0,25,3,21,0,10,127,12,0,57,4,34,1,9
"ENSMUSG00000000303",86,69,68,84,60,51,53,212,53,109,96,74,221,93,20,477,81,40,114,37
"ENSMUSG00000000305",70,42,40,46,91,39,32,142,45,147,101,75,705,321,40,663,148,96,154,46
"ENSMUSG00000000308",0,0,0,0,2,1,18,19,10,30,19,7,12,1,0,60,0,1,0,3
"ENSMUSG00000000317",0,0,4,0,0,0,5,0,0,0,0,8,12,0,0,0,3,0,3,0
"ENSMUSG00000000318",11,5,19,12,2,11,4,18,2,17,10,3,174,17,11,32,5,7,4,1
"ENSMUSG00000000320",6,10,0,13,0,3,4,8,0,0,0,19,103,0,8,18,0,0,0,0
"ENSMUSG00000000326",199,286,152,488,300,150,138,529,247,405,345,280,3826,529,538,1558,172,535,581,350
"ENSMUSG00000000339",51,85,28,79,87,26,26,169,82,83,148,112,1292,324,153,864,104,181,241,51
"ENSMUSG00000000340",115,172,119,329,121,143,120,212,147,247,149,125,1246,203,114,440,165,193,353,110
"ENSMUSG00000000346",636,511,430,664,445,374,555,995,478,1292,1240,697,9171,2417,871,7514,617,1224,1848,508
"ENSMUSG00000000355",145,285,168,228,215,151,130,416,143,399,607,313,3003,823,193,1965,304,282,600,181
"ENSMUSG00000000359",2,2,9,0,9,0,0,28,2,8,0,2,60,22,0,76,0,0,11,0
"ENSMUSG00000000365",0,1,0,0,0,0,0,14,1,0,0,11,12,2,0,0,3,6,0,0
"ENSMUSG00000000374",146,126,144,185,108,73,109,412,177,476,421,239,1900,673,111,1497,235,224,531,97
"ENSMUSG00000000378",370,253,254,383,333,263,338,575,178,870,817,638,4614,1368,292,3309,544,549,1436,180
"ENSMUSG00000000381",0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,22,0,0,0,0
"ENSMUSG00000000384",31,42,22,67,45,39,32,52,8,56,64,36,508,74,33,424,17,27,117,16
"ENSMUSG00000000385",0,38,1,0,0,18,0,1,4,17,0,0,43,5,21,58,7,26,1,2
"ENSMUSG00000000386",17,28,7,6,8,12,0,60,5,36,0,28,14,29,1,106,14,10,9,0
"ENSMUSG00000000392",5,0,1,3,1,11,4,2,0,1,2,0,57,10,5,20,4,0,0,0
"ENSMUSG00000000394",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,29,0,0,0,0
"ENSMUSG00000000399",179,210,133,715,179,218,138,520,159,521,448,229,5289,757,442,2804,298,698,694,253
"ENSMUSG00000000402",0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0
"ENSMUSG00000000409",3755,2543,3674,3471,2340,2705,3969,7224,3481,8049,7781,6181,35994,15814,4596,39571,5192,5531,12764,2510
"ENSMUSG00000000411",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000416",0,1,2,7,1,5,0,7,1,0,0,18,16,0,0,19,7,0,0,0
"ENSMUSG00000000420",255,239,209,318,198,145,254,375,148,375,550,269,2408,780,225,1513,395,362,727,122
"ENSMUSG00000000435",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000000439",34,138,109,185,111,144,87,197,91,348,287,180,1938,423,189,1627,224,301,481,138
"ENSMUSG00000000440",58,109,14,224,26,130,16,137,58,27,18,32,1817,74,160,252,98,130,58,124
"ENSMUSG00000000441",197,190,251,236,190,170,179,359,198,476,509,452,2468,971,228,2109,333,505,910,207
"ENSMUSG00000000486",456,448,525,705,488,295,638,977,514,1398,1824,1085,8205,2506,623,8588,823,1330,2809,469
"ENSMUSG00000000489",6,14,17,13,4,41,15,25,16,41,61,59,96,19,16,77,1,56,6,0
"ENSMUSG00000000530",41,5,2,67,47,30,8,63,7,33,40,13,230,52,32,136,71,38,26,27
"ENSMUSG00000000531",3,0,20,13,1,17,0,3,3,18,14,14,64,23,10,92,6,14,28,2
"ENSMUSG00000000532",8,13,13,42,14,10,33,30,3,66,71,26,165,91,19,319,37,14,117,8
"ENSMUSG00000000538",19,64,62,52,24,52,14,82,32,47,139,89,561,201,107,375,46,57,183,32
"ENSMUSG00000000544",0,0,2,1,0,0,0,4,0,0,0,0,5,12,0,56,0,0,0,0
"ENSMUSG00000000552",11,5,1,45,7,13,13,31,16,54,34,0,365,50,3,170,29,51,61,2
"ENSMUSG00000000555",19,2,6,6,50,27,8,30,2,42,25,33,128,72,22,197,11,27,75,6
