"","RR9_TMS_FLT_F1","RR9_TMS_FLT_F10","RR9_TMS_FLT_F2","RR9_TMS_FLT_F3","RR9_TMS_FLT_F4","RR9_TMS_FLT_F5","RR9_TMS_FLT_F6","RR9_TMS_FLT_F7","RR9_TMS_FLT_F8","RR9_TMS_FLT_F9","RR9_TMS_GC_G1","RR9_TMS_GC_G10","RR9_TMS_GC_G2","RR9_TMS_GC_G3","RR9_TMS_GC_G4","RR9_TMS_GC_G5","RR9_TMS_GC_G6","RR9_TMS_GC_G7","RR9_TMS_GC_G8","RR9_TMS_GC_G9"
"ENSMUSG00000025857",16,30,13,54,21,34,10,64,57,96,84,102,388,179,46,419,111,116,230,17
"ENSMUSG00000025858",20,41,22,65,9,33,24,121,40,59,94,84,700,164,53,663,39,97,142,17
"ENSMUSG00000025860",506,375,419,443,292,187,423,710,393,683,956,449,3227,1135,338,2513,650,669,1519,288
"ENSMUSG00000025862",673,514,524,617,410,341,512,1108,383,948,1462,824,3749,1813,693,3890,1053,953,2232,260
"ENSMUSG00000025867",2,7,2,1,4,4,0,8,3,29,2,12,35,13,1,50,9,2,4,6
"ENSMUSG00000025868",237,223,119,517,237,161,199,490,182,498,609,395,4251,1384,325,3649,374,632,953,349
"ENSMUSG00000025869",46,29,39,130,75,50,43,150,57,97,164,88,995,279,107,1101,97,91,259,41
"ENSMUSG00000025870",25,4,14,12,13,8,53,64,32,21,61,11,312,66,31,205,45,33,66,6
"ENSMUSG00000025871",130,117,72,217,82,70,225,247,147,369,244,189,2131,561,112,1002,136,279,265,126
"ENSMUSG00000025872",72,79,43,100,46,57,32,122,66,180,340,196,1680,458,151,1459,48,166,587,81
"ENSMUSG00000025873",144,94,140,256,148,73,175,358,161,426,404,201,1647,709,361,1765,234,270,492,144
"ENSMUSG00000025875",16,22,2,47,0,14,16,39,14,42,12,12,354,11,67,131,7,29,18,26
"ENSMUSG00000025876",4,32,10,25,27,21,0,4,5,0,57,12,51,2,0,47,14,1,0,1
"ENSMUSG00000025877",0,0,0,0,0,1,0,0,5,33,0,0,13,24,4,7,1,9,0,0
"ENSMUSG00000025878",87,73,128,100,142,80,143,177,156,182,267,240,753,333,106,834,134,99,314,83
"ENSMUSG00000025880",114,38,66,110,69,76,116,156,113,172,77,75,389,168,46,399,81,88,58,44
"ENSMUSG00000025885",20,0,0,57,16,5,1,50,9,37,37,0,146,7,12,38,9,36,1,0
"ENSMUSG00000025887",44,78,32,81,87,23,37,129,21,111,65,31,258,40,23,210,54,45,43,3
"ENSMUSG00000025888",27,43,28,53,32,21,32,92,37,170,104,68,623,204,41,621,68,40,99,29
"ENSMUSG00000025889",76,16,24,57,7,42,6,48,5,6,35,35,439,61,48,146,36,86,27,28
"ENSMUSG00000025892",0,0,0,0,0,0,6,9,0,0,0,3,0,0,1,0,0,0,0,0
"ENSMUSG00000025893",79,58,60,110,70,20,44,189,77,212,66,62,689,338,71,428,107,75,167,97
"ENSMUSG00000025894",143,76,161,311,155,110,266,381,88,250,228,253,1729,518,170,1235,139,311,452,149
"ENSMUSG00000025898",279,308,339,349,206,253,236,714,388,779,802,421,2368,1193,509,2551,627,508,1365,318
"ENSMUSG00000025899",147,85,174,177,91,125,176,312,94,350,452,201,1316,616,215,1006,258,121,739,99
"ENSMUSG00000025900",0,0,6,0,0,0,0,5,0,0,0,0,36,0,0,0,0,0,0,0
"ENSMUSG00000025902",2,0,1,6,0,23,1,32,3,9,0,14,67,0,9,19,0,10,8,13
"ENSMUSG00000025903",290,286,309,299,156,221,234,446,172,362,378,261,2552,756,181,1506,438,299,685,248
"ENSMUSG00000025905",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000025907",817,594,1027,941,610,775,754,1245,904,1562,1608,1061,3947,1755,797,3188,922,945,2351,423
"ENSMUSG00000025909",0,0,0,0,1,0,8,0,0,15,10,0,63,0,0,10,0,0,0,13
"ENSMUSG00000025911",19,27,42,118,42,87,22,150,60,78,19,28,1152,31,70,107,56,140,42,42
"ENSMUSG00000025912",0,4,8,6,9,10,11,1,1,7,63,36,180,85,21,197,35,45,123,33
"ENSMUSG00000025915",206,99,190,146,136,87,213,286,113,346,216,214,1035,352,143,1087,242,170,509,148
"ENSMUSG00000025916",0,0,0,11,0,0,0,0,2,1,0,0,0,12,0,0,0,0,0,0
"ENSMUSG00000025917",224,284,180,354,136,100,237,466,178,417,598,254,2892,700,415,2173,348,523,770,160
"ENSMUSG00000025920",55,43,5,56,46,14,91,67,23,63,43,8,464,9,61,156,60,46,39,33
"ENSMUSG00000025921",70,40,24,32,17,15,47,42,30,141,73,30,667,133,37,384,18,49,121,22
"ENSMUSG00000025922",1,0,2,1,1,0,1,1,2,5,3,0,11,10,0,5,1,4,10,3
"ENSMUSG00000025925",145,122,98,96,103,157,90,183,98,284,340,412,1556,356,198,1354,226,268,643,128
"ENSMUSG00000025927",1,0,0,5,15,11,27,12,1,2,4,10,12,25,0,81,13,31,0,0
"ENSMUSG00000025929",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025930",1,27,4,1,33,21,0,19,13,85,10,0,202,28,18,215,1,21,45,15
"ENSMUSG00000025931",34,21,8,19,21,5,17,73,50,102,8,19,132,73,26,146,31,29,97,3
"ENSMUSG00000025932",28,50,23,4,65,28,33,72,4,23,11,37,100,11,16,112,36,12,33,6
"ENSMUSG00000025933",24,23,40,1,13,28,0,34,10,77,0,23,116,27,4,114,23,26,69,6
"ENSMUSG00000025934",15,31,6,44,27,8,3,46,57,65,81,28,790,15,129,75,28,31,25,33
"ENSMUSG00000025935",791,754,779,1080,565,727,1084,1679,825,1912,1569,1353,13233,4773,967,9404,1188,1746,2656,429
"ENSMUSG00000025936",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025937",75,85,120,238,80,116,53,168,109,99,114,72,1138,169,111,494,173,178,263,99
"ENSMUSG00000025938",25,66,35,33,3,23,31,88,13,26,31,59,118,42,15,78,47,30,33,9
"ENSMUSG00000025939",183,172,203,363,173,121,245,612,225,563,349,294,2741,733,321,1778,361,362,666,151
"ENSMUSG00000025940",101,127,112,393,139,149,119,427,116,299,338,238,2644,748,357,1630,205,278,330,149
"ENSMUSG00000025945",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025946",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025949",170,139,236,120,185,166,159,269,176,367,200,186,1207,527,111,840,259,269,475,102
"ENSMUSG00000025950",154,160,69,570,107,155,104,366,153,157,122,97,2960,400,203,984,167,424,295,130
"ENSMUSG00000025952",0,0,0,1,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0
"ENSMUSG00000025955",0,1,0,0,0,1,3,4,0,0,0,5,0,0,0,1,0,1,0,0
"ENSMUSG00000025956",50,45,37,16,12,0,2,48,13,29,25,15,231,64,1,206,19,35,15,6
"ENSMUSG00000025958",481,269,508,473,289,296,300,868,370,768,1335,672,4701,1689,530,3776,627,745,1734,233
"ENSMUSG00000025959",370,221,464,508,288,252,210,777,249,631,956,585,4253,1301,495,3055,640,477,1613,261
"ENSMUSG00000025961",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025962",19,61,92,41,94,55,21,131,112,38,51,65,519,232,86,234,9,81,153,35
"ENSMUSG00000025963",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ENSMUSG00000025964",14,12,21,12,15,21,7,22,13,17,15,32,28,72,10,89,38,24,25,14
"ENSMUSG00000025967",844,763,529,1566,669,490,844,1853,782,2346,3175,1772,16373,5047,1513,13522,1268,2424,4549,754
"ENSMUSG00000025968",216,182,221,440,232,214,111,386,167,259,338,287,3050,424,233,1628,384,430,692,180
"ENSMUSG00000025969",26,41,38,128,45,32,14,122,56,113,59,21,874,59,53,198,59,113,38,50
"ENSMUSG00000025971",64,59,86,229,80,144,68,158,24,189,137,113,1291,326,126,549,103,243,196,32
"ENSMUSG00000025977",6,0,0,2,5,2,0,1,19,0,11,4,24,10,0,15,9,19,2,0
"ENSMUSG00000025978",7,6,0,1,0,1,0,9,0,1,26,0,18,20,0,43,1,0,4,5
"ENSMUSG00000025979",351,274,194,315,236,196,338,604,236,614,687,397,2766,1192,419,2434,549,449,892,207
"ENSMUSG00000025980",281,457,302,1003,409,343,438,1168,424,847,1122,466,6617,1577,784,3882,612,732,1037,292
"ENSMUSG00000025981",34,62,67,122,42,116,41,56,35,163,100,82,768,174,60,324,128,45,124,41
"ENSMUSG00000025982",1506,1215,1513,1485,1023,1150,1366,2745,1020,2719,3782,1944,12643,4615,1338,11053,2114,2111,5601,962
"ENSMUSG00000025983",0,0,0,0,0,0,0,0,0,0,2,0,16,0,0,2,0,0,1,0
"ENSMUSG00000025986",146,97,119,94,108,94,92,192,61,259,328,113,1134,403,182,1050,124,106,348,76
"ENSMUSG00000025991",0,0,0,17,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025993",75,235,172,228,139,106,129,371,204,381,143,174,699,341,158,756,200,126,243,91
"ENSMUSG00000025995",94,74,40,131,56,39,81,203,82,212,171,113,905,227,80,729,148,120,406,65
"ENSMUSG00000025997",818,599,876,663,488,472,633,1230,632,1097,1076,898,3824,1571,483,3088,800,728,2113,324
"ENSMUSG00000026000",150,174,184,240,163,123,192,387,152,379,388,226,1631,552,221,1803,193,190,438,96
"ENSMUSG00000026003",500,360,291,2028,337,594,223,1181,396,334,544,304,9804,440,809,1768,623,904,604,402
"ENSMUSG00000026004",475,386,377,318,337,387,433,818,359,819,829,703,2254,1164,328,1980,675,481,1249,308
"ENSMUSG00000026005",141,208,199,240,166,142,255,385,106,394,294,282,1933,650,207,1074,202,239,398,127
"ENSMUSG00000026009",74,117,90,113,89,44,62,184,82,206,121,100,297,305,40,823,163,148,204,68
"ENSMUSG00000026011",4,2,4,16,0,3,24,6,11,4,41,2,17,1,23,62,12,2,34,4
"ENSMUSG00000026012",1154,811,1013,988,699,807,1058,1912,935,2040,2182,1271,8479,4475,896,9546,1478,1334,3567,714
"ENSMUSG00000026014",80,75,50,82,59,72,40,165,85,163,150,87,682,144,35,432,107,70,129,50
"ENSMUSG00000026017",56,3,47,84,43,27,71,51,16,75,143,87,294,57,27,301,155,41,191,10
"ENSMUSG00000026018",1,1,1,0,0,5,1,0,6,0,8,12,34,34,4,26,0,0,19,0
"ENSMUSG00000026019",660,542,803,610,459,403,676,1171,490,1400,1521,1153,7020,2195,695,5901,878,1019,2515,565
"ENSMUSG00000026020",157,305,167,343,251,108,248,562,170,700,1121,417,4709,1465,400,5086,465,739,1397,294
"ENSMUSG00000026021",278,291,187,567,281,221,373,600,247,783,852,530,5504,1667,583,4213,423,755,1175,251
"ENSMUSG00000026023",3,0,0,12,0,0,0,4,0,9,1,1,31,16,0,12,0,1,4,0
"ENSMUSG00000026024",47,33,68,30,34,26,7,46,36,140,61,55,242,59,35,232,46,51,97,5
"ENSMUSG00000026027",51,54,50,129,107,5,64,164,87,87,139,85,770,287,71,498,83,73,159,36
"ENSMUSG00000026028",189,98,112,231,80,108,163,209,114,361,365,194,1134,347,92,823,195,186,423,135
"ENSMUSG00000026029",25,33,87,83,42,44,102,84,61,112,285,112,924,297,92,1132,75,115,402,8
"ENSMUSG00000026031",157,128,241,333,168,163,220,566,274,639,558,379,3153,1136,311,2623,287,537,1178,188
"ENSMUSG00000026032",309,730,228,1347,359,325,407,1187,380,583,779,511,8818,1518,634,4443,521,1108,1007,439
"ENSMUSG00000026034",1048,704,1114,784,540,598,686,1624,802,1476,1431,1318,5163,1924,592,3507,1210,821,2151,467
"ENSMUSG00000026035",17,86,67,86,40,36,80,147,89,259,160,125,1005,321,104,971,98,206,268,66
"ENSMUSG00000026036",2,16,44,59,1,4,6,67,12,134,180,61,314,165,20,337,41,28,132,3
"ENSMUSG00000026037",52,73,45,144,32,50,27,111,23,154,225,176,885,312,108,1031,122,179,480,103
"ENSMUSG00000026039",15,16,3,2,6,1,24,61,1,29,514,126,1346,520,137,1360,155,157,552,49
"ENSMUSG00000026042",6,25,32,61,15,9,10,49,4,31,69,11,268,65,8,205,8,35,19,26
"ENSMUSG00000026043",76,34,45,135,111,5,33,118,54,188,307,37,1725,135,148,280,115,128,130,80
"ENSMUSG00000026047",20,0,11,2,8,4,1,24,0,3,3,9,30,47,3,63,27,17,35,5
"ENSMUSG00000026048",62,122,85,152,86,26,82,146,113,208,206,85,796,278,57,570,227,143,359,67
"ENSMUSG00000026049",106,70,135,164,135,56,119,242,112,316,411,462,2198,884,228,1721,332,362,484,125
"ENSMUSG00000026051",11,0,0,11,0,0,0,0,0,44,19,0,44,35,8,2,0,4,0,0
"ENSMUSG00000026058",0,0,0,0,0,9,9,15,19,0,0,1,4,0,0,2,1,0,0,0
"ENSMUSG00000026062",42,25,38,18,46,16,11,62,17,26,69,29,86,84,14,156,24,29,31,13
"ENSMUSG00000026063",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000026064",0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,2,2
"ENSMUSG00000026065",3,3,0,0,0,0,0,1,0,0,0,1,0,0,0,5,0,0,0,2
"ENSMUSG00000026068",49,8,4,6,4,3,15,17,1,23,4,20,23,11,0,13,32,1,68,6
"ENSMUSG00000026069",2,0,0,1,0,5,1,0,0,0,0,3,7,1,0,0,0,3,0,0
"ENSMUSG00000026070",18,8,27,33,15,6,21,55,1,70,10,47,66,55,9,92,58,25,23,14
"ENSMUSG00000026072",34,10,15,19,44,11,60,16,2,31,59,29,139,80,9,168,37,23,53,12
"ENSMUSG00000026073",13,0,6,0,1,3,18,26,0,12,11,19,63,26,46,97,2,2,9,0
"ENSMUSG00000026074",357,281,377,420,312,277,313,669,349,679,726,425,3256,1252,340,2297,555,403,1343,234
"ENSMUSG00000026077",14,2,1,9,6,3,18,8,14,19,16,38,37,33,2,49,7,6,19,23
"ENSMUSG00000026078",211,213,331,458,183,158,238,552,171,547,507,321,3937,1002,448,2909,247,356,520,159
"ENSMUSG00000026080",47,27,32,28,33,31,35,84,26,95,113,144,402,160,45,427,115,83,229,26
"ENSMUSG00000026082",110,62,116,61,59,57,103,169,99,144,211,163,788,252,155,671,153,127,150,75
"ENSMUSG00000026083",496,497,628,901,406,374,475,1249,457,1183,1659,788,7577,2045,636,5561,824,931,2473,419
"ENSMUSG00000026085",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000026087",226,471,173,1241,425,324,268,876,345,502,679,713,7910,1463,899,3953,467,1143,1274,333
"ENSMUSG00000026088",256,245,227,421,148,181,261,682,230,683,535,410,2883,1166,200,2799,296,365,721,146
"ENSMUSG00000026090",37,14,25,8,24,30,9,31,26,64,71,32,286,136,18,239,44,26,80,13
"ENSMUSG00000026094",650,650,692,1036,505,545,758,1554,565,1607,2026,977,4643,2624,509,5350,1025,1151,1935,372
"ENSMUSG00000026095",27,25,15,64,20,20,28,14,5,47,129,29,446,89,29,338,51,32,99,5
"ENSMUSG00000026096",41,4,56,6,6,12,6,6,6,9,0,49,43,13,12,68,40,2,11,5
"ENSMUSG00000026097",137,149,203,112,109,127,231,296,98,281,395,239,959,661,164,1050,365,285,534,92
"ENSMUSG00000026098",39,37,35,55,56,53,36,127,54,56,103,84,431,152,119,300,33,82,137,21
"ENSMUSG00000026100",9,0,0,0,0,2,0,1,6,1,0,1,1,25,4,1,6,0,1,1
"ENSMUSG00000026102",81,83,114,83,100,54,64,144,141,261,169,161,1188,328,49,782,202,133,290,102
"ENSMUSG00000026103",651,558,705,645,647,456,547,918,459,982,873,561,2528,1436,533,1880,947,578,1199,359
"ENSMUSG00000026104",258,188,262,426,229,185,228,760,279,943,455,212,1893,970,188,2202,300,349,697,143
"ENSMUSG00000026107",876,1207,1310,963,910,707,1338,2014,799,2084,1275,1317,4052,1946,756,3168,1326,1413,2092,587
"ENSMUSG00000026109",0,0,1,3,4,0,0,6,0,0,20,12,99,0,10,0,0,2,0,0
"ENSMUSG00000026110",122,93,94,143,140,94,152,151,113,220,357,282,1205,504,133,923,281,362,653,122
"ENSMUSG00000026111",202,154,116,252,119,92,153,245,178,363,363,272,1719,728,217,1598,194,328,456,211
"ENSMUSG00000026112",74,140,90,192,60,65,74,249,98,172,133,131,1472,408,108,877,105,178,308,91
"ENSMUSG00000026113",65,23,18,77,19,26,38,142,113,120,52,19,853,206,29,490,92,113,146,39
"ENSMUSG00000026114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000026116",184,113,120,136,226,118,119,310,113,251,645,409,1770,739,186,1445,369,268,769,149
"ENSMUSG00000026117",137,99,143,251,100,74,251,351,97,458,541,224,1841,946,206,2594,227,384,832,98
"ENSMUSG00000026121",46,18,21,25,28,17,35,45,29,32,31,12,169,111,13,243,29,39,96,20
"ENSMUSG00000026123",140,88,97,142,64,41,26,202,57,163,192,238,1193,417,93,1047,111,92,267,74
"ENSMUSG00000026124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000026125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000026126",433,640,548,483,413,272,630,1344,677,1943,1523,1231,5578,2783,900,7670,540,888,1903,540
"ENSMUSG00000026127",80,72,52,167,97,74,90,251,79,253,288,159,1864,669,87,1422,181,174,567,67
"ENSMUSG00000026131",362,283,310,481,355,299,389,850,280,810,550,498,2149,915,293,1506,609,432,816,308
"ENSMUSG00000026134",35,37,36,12,30,28,25,37,21,66,119,97,673,207,42,610,119,82,320,34
"ENSMUSG00000026135",19,6,24,12,19,19,35,69,53,99,80,19,390,89,10,90,47,43,62,2
"ENSMUSG00000026141",0,1,0,6,0,0,0,0,0,0,0,0,0,34,0,0,0,16,12,0
"ENSMUSG00000026142",24,21,17,43,38,29,50,35,35,61,30,50,166,116,33,153,54,29,119,37
"ENSMUSG00000026147",0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,4,0,0,0,0
"ENSMUSG00000026149",0,2,0,0,0,0,0,32,5,0,0,0,12,0,0,9,0,0,0,0
"ENSMUSG00000026150",216,301,285,392,177,231,228,821,162,619,648,328,2732,1187,275,2281,394,387,947,176
"ENSMUSG00000026153",3,1,16,2,11,5,7,9,1,24,16,9,144,6,8,20,31,13,1,1
"ENSMUSG00000026154",92,246,100,377,206,131,163,433,111,447,226,278,2885,641,337,1642,77,431,572,116
"ENSMUSG00000026155",199,169,260,504,180,167,232,507,232,560,896,325,5061,1506,355,3886,371,430,1224,199
"ENSMUSG00000026156",1,0,1,1,0,2,0,5,0,0,3,1,44,2,15,13,0,0,6,1
"ENSMUSG00000026158",53,55,71,120,71,94,27,198,81,74,75,84,418,224,95,491,125,36,101,32
"ENSMUSG00000026159",167,131,189,243,128,174,175,379,228,272,328,221,1290,557,125,1343,183,154,538,140
"ENSMUSG00000026162",5,0,13,19,1,1,18,8,15,66,56,33,396,166,45,420,5,93,106,2
"ENSMUSG00000026163",0,10,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,8,0,0
"ENSMUSG00000026166",51,12,107,71,78,33,56,106,85,131,37,36,176,111,29,544,40,55,20,42
"ENSMUSG00000026167",2,0,0,17,1,2,0,1,0,13,2,5,38,65,0,94,12,0,13,29
"ENSMUSG00000026170",11,43,39,74,16,1,2,51,33,80,30,21,179,45,22,121,1,30,1,4
"ENSMUSG00000026171",30,59,5,47,55,32,30,136,25,157,172,87,506,241,120,470,79,68,238,67
"ENSMUSG00000026172",27,54,17,44,9,16,17,83,25,47,73,72,371,94,7,480,72,55,80,38
"ENSMUSG00000026173",1,0,1,9,0,0,14,18,1,0,18,0,27,1,0,18,9,2,1,1
"ENSMUSG00000026174",56,70,26,103,40,52,50,41,16,82,253,113,1481,276,69,1267,77,139,390,21
"ENSMUSG00000026175",0,2,0,0,0,0,1,0,0,0,5,0,3,10,0,8,2,1,1,1
"ENSMUSG00000026176",35,98,48,134,35,37,65,129,58,142,264,78,1089,310,118,816,122,153,321,55
"ENSMUSG00000026177",32,30,7,29,5,1,25,113,6,45,39,22,232,29,18,93,11,0,28,11
"ENSMUSG00000026179",137,153,107,436,181,147,186,459,235,407,361,408,3328,915,391,2239,259,588,487,196
"ENSMUSG00000026180",0,0,0,20,0,1,0,16,1,29,0,14,27,0,3,0,22,1,29,11
"ENSMUSG00000026181",2,9,26,51,19,8,18,77,9,30,62,32,334,87,28,297,50,1,171,57
"ENSMUSG00000026182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000026185",1838,1110,1213,1706,1345,1256,989,2807,1799,2801,1768,682,9830,1851,626,2936,893,656,1557,548
"ENSMUSG00000026187",30,64,40,74,52,56,37,134,26,229,226,60,662,199,32,524,135,124,152,47
"ENSMUSG00000026188",1,0,0,3,6,4,2,5,2,8,0,1,42,0,0,14,1,0,2,0
"ENSMUSG00000026189",14,23,16,84,5,50,19,32,2,13,1,17,171,68,0,159,11,18,13,0
"ENSMUSG00000026192",47,76,70,172,140,66,89,395,46,447,366,125,2310,633,226,1899,132,250,606,101
"ENSMUSG00000026193",66,43,31,76,47,48,34,119,33,112,433,88,1734,188,35,208,66,60,148,41
"ENSMUSG00000026196",16,19,1,33,38,3,1,15,2,12,295,61,852,310,78,1005,124,124,291,31
"ENSMUSG00000026197",76,33,99,141,39,54,51,90,138,153,193,57,1550,226,105,954,36,154,341,58
"ENSMUSG00000026198",0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1
"ENSMUSG00000026199",12,1,30,10,33,33,13,40,32,60,114,17,254,133,16,334,9,45,65,28
"ENSMUSG00000026200",5,5,6,5,6,15,6,47,30,2,0,25,92,22,6,101,0,16,17,0
"ENSMUSG00000026201",195,141,243,335,170,87,164,420,203,365,525,308,2405,716,240,1748,155,393,605,206
"ENSMUSG00000026202",90,86,59,129,25,30,90,194,50,167,271,96,1046,201,52,958,92,128,300,28
"ENSMUSG00000026203",22,41,42,172,51,58,57,134,35,135,74,51,743,97,40,318,71,78,129,28
"ENSMUSG00000026204",0,0,0,0,0,0,9,6,0,0,0,1,19,19,0,60,8,6,3,1
"ENSMUSG00000026205",1,2,0,5,11,0,3,0,0,0,8,0,1,0,0,28,0,0,0,0
"ENSMUSG00000026207",0,1,0,0,0,0,0,2,1,0,0,20,31,0,8,23,3,3,0,0
"ENSMUSG00000026208",84,36,21,262,78,115,14,272,47,15,41,34,780,71,71,130,36,41,56,89
"ENSMUSG00000026209",63,28,39,199,51,50,48,183,68,189,115,119,1262,300,132,674,79,168,180,50
"ENSMUSG00000026211",1,12,18,14,8,1,1,41,2,49,5,0,100,13,12,92,0,10,35,2
"ENSMUSG00000026213",8,7,2,17,14,22,5,73,6,39,36,2,68,52,18,112,7,43,105,3
"ENSMUSG00000026219",736,516,605,705,485,498,626,1237,520,1345,1591,867,4757,1893,570,4512,972,806,2204,389
"ENSMUSG00000026220",0,0,0,0,0,0,0,9,0,0,0,0,4,0,0,0,0,5,0,0
"ENSMUSG00000026222",381,331,287,488,240,204,411,795,296,1062,1050,658,3037,1303,300,3802,460,559,1272,224
"ENSMUSG00000026223",414,346,262,416,394,162,274,649,336,778,564,321,3282,1049,408,3211,331,401,467,274
"ENSMUSG00000026224",0,0,1,0,1,0,0,0,20,0,16,7,36,17,0,77,1,12,0,0
"ENSMUSG00000026226",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000026227",0,9,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,8,0,0
"ENSMUSG00000026228",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000026229",105,149,73,223,133,143,133,216,118,313,383,214,2500,782,189,1923,281,259,710,91
"ENSMUSG00000026234",807,659,654,1416,550,531,640,1602,360,1933,3765,1114,10687,3434,913,10107,1282,1347,5430,440
"ENSMUSG00000026235",8,2,16,33,4,3,18,4,0,34,28,18,169,25,2,41,23,29,16,32
"ENSMUSG00000026237",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000026238",708,733,744,1010,689,466,842,1463,535,1893,4396,1564,17519,6123,1594,16766,1607,2054,5862,833
"ENSMUSG00000026239",80,53,69,211,87,34,49,175,26,154,246,148,1365,355,180,1262,79,294,498,76
"ENSMUSG00000026240",79,28,60,14,48,29,60,29,31,138,116,106,479,210,30,487,61,62,312,11
"ENSMUSG00000026241",4,0,1,0,0,0,0,1,0,0,0,0,0,2,0,2,6,0,0,0
"ENSMUSG00000026245",28,63,52,94,38,11,41,72,66,134,182,64,989,227,60,1103,89,143,367,26
"ENSMUSG00000026246",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000026247",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
"ENSMUSG00000026248",26,52,70,160,74,39,37,72,22,157,304,106,805,410,35,910,113,147,232,58
"ENSMUSG00000026249",109,94,105,122,187,40,68,274,127,217,47,154,564,493,124,1112,159,152,237,130
"ENSMUSG00000026251",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000026253",1,0,0,0,0,0,0,6,0,0,0,1,0,0,0,4,0,0,0,0
"ENSMUSG00000026254",128,139,182,136,140,74,86,198,143,231,312,202,2556,584,172,2176,259,230,633,86
"ENSMUSG00000026255",0,18,0,13,1,0,0,2,5,0,0,0,62,3,0,9,0,0,3,0
"ENSMUSG00000026258",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
"ENSMUSG00000026259",0,0,0,0,1,0,0,2,0,0,8,0,59,0,0,0,0,0,0,0
"ENSMUSG00000026260",333,315,302,2134,620,432,233,1168,463,570,680,344,12280,1266,992,3597,615,1413,1037,589
"ENSMUSG00000026269",128,100,137,137,100,65,169,341,51,220,297,209,1994,545,201,1549,223,153,468,70
"ENSMUSG00000026270",37,36,19,50,26,18,13,71,8,101,71,79,402,187,32,240,44,56,134,64
"ENSMUSG00000026271",3,0,8,25,15,4,2,10,1,40,4,7,47,11,0,45,1,1,27,7
"ENSMUSG00000026272",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
"ENSMUSG00000026273",21,11,30,62,20,37,23,106,58,84,30,92,532,255,37,334,23,52,153,19
"ENSMUSG00000026274",1,0,1,2,0,0,0,0,1,2,8,16,182,33,8,56,13,11,29,8
"ENSMUSG00000026275",68,44,113,135,50,87,97,152,40,207,536,349,2300,591,141,1781,172,171,566,93
"ENSMUSG00000026276",13,23,16,23,14,23,23,27,7,14,22,29,109,18,0,66,25,3,8,2
"ENSMUSG00000026277",93,130,141,111,61,118,41,257,99,245,315,199,1288,502,155,906,213,271,481,75
"ENSMUSG00000026278",46,30,90,86,68,14,29,130,37,218,167,15,611,194,71,533,10,90,135,35
"ENSMUSG00000026279",21,36,36,51,36,27,50,77,23,75,70,42,574,65,71,372,33,69,108,21
"ENSMUSG00000026280",26,37,51,79,71,25,16,85,84,135,141,89,1117,203,109,835,127,152,226,16
"ENSMUSG00000026281",160,192,119,230,228,95,221,413,133,519,854,444,3359,1113,314,3147,327,565,609,184
"ENSMUSG00000026283",75,54,70,170,90,68,42,165,101,221,232,114,1315,518,100,760,233,134,417,115
"ENSMUSG00000026285",50,26,59,35,8,13,6,73,19,79,83,46,298,145,36,242,40,32,68,2
