"","Mmus_C57-6J_LVR_DI_1y_Rep1","Mmus_C57-6J_LVR_DI_1y_Rep2","Mmus_C57-6J_LVR_DI_1y_Rep3","Mmus_C57-6J_LVR_LN2_1y_Rep1","Mmus_C57-6J_LVR_LN2_1y_Rep2","Mmus_C57-6J_LVR_LN2_1y_Rep3","Mmus_C57-6J_LVR_LN2_3d_Rep1","Mmus_C57-6J_LVR_LN2_3d_Rep2","Mmus_C57-6J_LVR_LN2_3d_Rep3"
"ENSMUSG00000000489",14,17,21,28,13,21,45,20,32
"ENSMUSG00000000530",68,84,79,110,52,77,66,52,92
"ENSMUSG00000000531",35,53,27,66,22,35,39,39,31
"ENSMUSG00000000532",288,353,261,324,254,337,525,249,357
"ENSMUSG00000000538",774,872,665,1094,711,907,756,715,815
"ENSMUSG00000000544",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000552",644,872,804,825,763,630,880,1245,772
"ENSMUSG00000000555",578,1066,976,715,497,553,932,666,573
"ENSMUSG00000000560",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000561",495.79,757.47,669,802.94,531,576,649,607.09,624.19
"ENSMUSG00000000562",3,0,0,8,0,4,1,0,0
"ENSMUSG00000000563",8742.03,8837.1,8391.43,11523.3,7602.98,7653.83,7903.73,9552.63,8661.05
"ENSMUSG00000000567",130,178,178,201,88,127,418,173,109
"ENSMUSG00000000568",1171,1514,1243,1563,870,961,1382,1247,1186
"ENSMUSG00000000579",0,9.22,5.43,1.84,4.67,2.98,5.42,4.52,0
"ENSMUSG00000000581",1046,1078,945,1461,947,940,1047,1141,1096
"ENSMUSG00000000594",5400,6410,5311,8059,4826,4883,5099,6565,5762
"ENSMUSG00000000600",277,355,389,435,335,276,401,315,282
"ENSMUSG00000000605",1818,1857,1861,2434,1801,1923,1965,2075,1759
"ENSMUSG00000000606",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000617",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000627",0,1,0,1,0,1,2,0,2
"ENSMUSG00000000628",23,32,17,91,32,51,58,24,49
"ENSMUSG00000000631",2814,2991,2575,3520,2997,3007,3707,2805,3030
"ENSMUSG00000000632",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000673",15930,15685,14687,22453,13152,11499,12432,15908,15547
"ENSMUSG00000000682",227,265,163,428,235,200,167,195,199
"ENSMUSG00000000686",733,669,530,761,779,1036,1073,525,896
"ENSMUSG00000000690",1,2,1,7,2,5,3,7,0
"ENSMUSG00000000693",47,41,41,69,56,70,41,37,48
"ENSMUSG00000000701",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000706",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000708",2233,2336.83,2737.83,3514,2270.57,2649,2948.68,2589.48,2463.85
"ENSMUSG00000000711",3631,3739.22,3646,5225,3708.6,3586.2,3945.24,4005.05,3842.2
"ENSMUSG00000000724",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000730",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000731",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000732",13,24,16,18,18,28,26,20,14
"ENSMUSG00000000738",1087,1046,930,1426,1083,1080,1227,1347,1208
"ENSMUSG00000000739",424,483,371,633,405,262,462,169,639
"ENSMUSG00000000740",4784.25,4197.97,3593.23,5326.86,3593.05,3582.34,2701.39,4139.73,3478.87
"ENSMUSG00000000743",1523,1471,1338,1825,1453,1412.32,1494,1602.23,1561.36
"ENSMUSG00000000751",744,996,801,1023,723,830,860,818,1068
"ENSMUSG00000000753",25880,23555,24252,31904,23081,21460,23308,26023,26600
"ENSMUSG00000000759",173,202,182,279,143,205,315,247,220
"ENSMUSG00000000766",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000776",171,216,234,297,140,155,202,216,152
"ENSMUSG00000000782",150,214,182,314,196,217,210,187,135
"ENSMUSG00000000787",4614.98,6356.95,6865.24,6754.84,5651.97,5513.97,7870.89,6876.41,5590.97
"ENSMUSG00000000791",15,25,23,30,11,5,11,12,9
"ENSMUSG00000000792",0,0,1,2,1,0,2,0,0
"ENSMUSG00000000794",0,0,0,4,0,3,0,1,1
"ENSMUSG00000000804",706,853,926,997,834,862,1228,900,836
"ENSMUSG00000000805",0,0,0,0,0,1,0,2,0
"ENSMUSG00000000811",229,209,265,300,204,204,323,314,328
"ENSMUSG00000000817",6,6,3,11,1,2,6,4,2
"ENSMUSG00000000823",350.95,547,494.9,574,367,422,820,610.97,489
"ENSMUSG00000000826",1138,1646.75,1588,1748,1258,1477,1627,1445,1339
"ENSMUSG00000000827",734,784,743,963,630,681,715,781,709
"ENSMUSG00000000838",568,658.11,660,756,540,647,808,618,639
"ENSMUSG00000000861",5,8,8,15,5,19,8,8,15
"ENSMUSG00000000869",0,2,0,0,0,0,4,0,1
"ENSMUSG00000000876",3321.98,2453,1774,2841,3041,3512,3033,3110,2770
"ENSMUSG00000000881",627,550,481,658,552,555,754,560,609
"ENSMUSG00000000884",30.85,42,27,41,47.78,35.07,40.41,29.6,30
"ENSMUSG00000000889",0,0,0,3,0,0,0,0,0
"ENSMUSG00000000901",30,36,20,25,28,33,21,39,23
"ENSMUSG00000000902",563,590,533,660,527,502,604,596,564
"ENSMUSG00000000903",6,6,5,18,10,14,6,6,7
"ENSMUSG00000000915",805,728,684,865,733,601,778,599,766
"ENSMUSG00000000916",189,187,151,213,169,176,194,244,148
"ENSMUSG00000000934",717,657,648,1051,637,593,737,801,717
"ENSMUSG00000000938",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000942",13,22,10,17,7,18,16,20,15
"ENSMUSG00000000948",1,1,3,3,1,3,13,3.37,2
"ENSMUSG00000000957",1403,1340,1468,1721,1402,1197,1544,1385,1042
"ENSMUSG00000000958",71,78,71,168,64,61,77,74,75
"ENSMUSG00000000959",1435,1303,1403,1790,1265,1425,1362,1445,1393
"ENSMUSG00000000976",256,381.97,316,343,246,272,396,296,316
"ENSMUSG00000000982",0,0,4,0,3,1,3,1,5
"ENSMUSG00000000983",0,1,0,3,3,1,0,0,1
