epoch,train_loss,val_loss
0,4.128724407790895,1.1525371074676514
1,1.1251803124628736,1.1274079084396362
2,1.1146938603059902,1.1004929542541504
3,1.0879186086032702,1.0884243249893188
4,1.065631385591118,1.0751574039459229
